rank,Stock Name,Symbol,Exchange,CMP,6M Return%,Market Cap (Cr),Cap,Sector,Avg Vol (20D),px_vs_e50,px_vs_e200,ema50,ema200,past_date_used,xsrc_mismatch_pct
122,Cemindia Projects Limited,CEMPRO,NSE,1112.8,35.57,19148.3,Mid,Industrials,780663,above,above,846.22,739.37,2025-12-09,0.17
123,SBC Exports Limited,SBC,NSE,37.1,35.3,1764.76,Small,Industrials,14650806,above,above,34.82,28.86,2025-12-09,0.11
124,Belrise Industries Limited,BELRISE,NSE,215.98,35.22,19216.94,Mid,Consumer Cyclical,3571449,above,above,208.72,177.49,2025-12-09,0.01
125,Vijaya Diagnostic Centre Limited,VIJAYA,NSE,1372.4,35.07,14151.39,Mid,Healthcare,357769,above,above,1176.57,1061.65,2025-12-09,0.38
126,Polycab India Limited,POLYCAB,NSE,9699.0,34.82,146011.23,Large,Industrials,288512,above,above,8723.22,7786.83,2025-12-09,0.03
127,Sai Life Sciences Limited,SAILIFE,NSE,1186.4,34.61,25161.1,Large,Healthcare,922877,above,above,1076.65,953.14,2025-12-09,0.02
128,Shipping Corporation Of India Limited,SCI,NSE,302.65,34.55,14097.41,Mid,Industrials,9933716,above,above,294.73,254.07,2025-12-09,0.0
129,South West Pinnacle Exploration Limited,SOUTHWEST,NSE,262.75,34.3,780.65,Small,Energy,434889,above,above,238.4,198.82,2025-12-09,0.4
130,Aether Industries Limited,AETHER,NSE,1138.2,34.3,15108.91,Mid,Basic Materials,394992,above,above,1115.04,988.06,2025-12-09,0.03
131,Senores Pharmaceuticals Limited,SENORES,NSE,1034.7,34.25,4765.63,Small,Healthcare,671219,above,above,967.12,818.53,2025-12-09,0.01
132,Gujarat Mineral Development Corporation Limited,GMDCLTD,NSE,657.75,33.84,20914.86,Large,Energy,2402365,above,above,653.92,570.29,2025-12-09,0.01
133,Gland Pharma Limited,GLAND,NSE,2273.0,32.99,37435.13,Large,Healthcare,853624,above,above,2003.11,1845.65,2025-12-09,0.04
134,Hindalco Industries Limited,HINDALCO,NSE,1092.6,32.96,245498.26,Large,Basic Materials,5607182,above,above,1051.54,910.31,2025-12-09,0.01
135,Zen Technologies Limited,ZENTEC,NSE,1815.3,32.68,16395.83,Mid,Industrials,848205,above,above,1590.29,1530.98,2025-12-09,0.03
136,Gujarat Ambuja Exports Limited,GAEL,NSE,155.86,32.65,7143.8,Mid,Consumer Defensive,989757,above,above,153.86,135.58,2025-12-09,0.07
137,Uniparts India Limited,UNIPARTS,NSE,633.95,31.85,2853.72,Small,Industrials,334377,above,above,545.45,481.47,2025-12-09,0.28
138,Akums Drugs and Pharmaceuticals Limited,AKUMS,NSE,553.8,31.36,8718.05,Mid,Healthcare,272418,above,above,521.82,497.57,2025-12-09,0.02
139,Sanstar Limited,SANSTAR,NSE,117.96,31.29,2148.66,Small,Basic Materials,1276928,above,above,100.59,94.4,2025-12-09,0.05
140,KEI Industries Limited,KEI,NSE,5335.5,31.0,51013.43,Large,Industrials,306920,above,above,4971.17,4476.13,2025-12-09,0.01
141,Angel One Limited,ANGELONE,NSE,332.6,30.81,30405.4,Large,Financial Services,8265811,above,above,308.25,274.24,2025-12-09,0.09
142,Rico Auto Industries Limited,RICOAUTO,NSE,136.85,30.69,1852.73,Small,Consumer Cyclical,4408556,above,above,117.9,109.89,2025-12-09,0.07
143,Gandhar Oil Refinery (India) Limited,GANDHAR,NSE,160.73,30.61,1575.37,Small,Energy,804117,above,above,149.65,148.36,2025-12-09,0.14
144,Dhanlaxmi Bank Limited,DHANBANK,NSE,32.88,30.42,1300.14,Small,Financial Services,2331872,above,above,30.32,27.41,2025-12-09,0.18
145,Menon Bearings Limited,MENONBE,NSE,138.71,30.06,775.87,Small,Consumer Cyclical,219537,above,above,134.28,123.57,2025-12-09,0.19
146,RSWM Limited,RSWM,NSE,197.1,30.03,925.55,Small,Consumer Cyclical,273595,above,above,163.35,155.85,2025-12-09,0.31
147,Saregama India Limited,SAREGAMA,NSE,476.2,29.79,9173.88,Mid,Communication Services,9981861,above,above,383.72,392.57,2025-12-09,0.08
148,Adani Total Gas Limited,ATGL,NSE,762.25,29.44,83833.02,Large,Utilities,11718598,above,above,646.63,606.86,2025-12-09,0.0
149,Sammaan Capital Limited,SAMMAANCAP,NSE,184.28,29.37,21340.33,Large,Financial Services,24974683,above,above,156.4,148.93,2025-12-09,0.07
150,Tips Music Limited,TIPSMUSIC,NSE,690.95,29.37,8821.66,Mid,Communication Services,299953,above,above,625.69,587.84,2025-12-09,0.12
151,Hindustan Construction Company Limited,HCC,NSE,24.02,29.28,6291.96,Mid,Industrials,40683034,above,above,21.06,22.18,2025-12-09,0.0
152,Ola Electric Mobility Limited,OLAELEC,NSE,44.88,29.19,19795.8,Mid,Consumer Cyclical,118633823,above,above,36.31,39.37,2025-12-09,0.0
153,Cummins India Limited,CUMMINSIND,NSE,5784.0,29.13,160336.64,Large,Industrials,537288,above,above,5288.14,4564.03,2025-12-09,0.0
154,JSW Energy Limited,JSWENERGY,NSE,584.2,28.72,107020.39,Large,Utilities,4432236,above,above,547.14,521.64,2025-12-09,0.09
155,Sandhar Technologies Limited,SANDHAR,NSE,703.1,28.71,4235.02,Small,Consumer Cyclical,1311059,above,above,572.98,523.31,2025-12-09,0.07
156,Suryoday Small Finance Bank Limited,SURYODAY,NSE,171.83,28.38,1827.65,Small,Financial Services,515933,above,above,155.4,141.97,2025-12-09,0.07
157,Rishabh Instruments Limited,RISHABH,NSE,512.45,28.19,1970.21,Small,Technology,353206,above,above,484.24,417.81,2025-12-09,0.27
158,Supriya Lifescience Limited,SUPRIYA,NSE,947.95,28.11,7632.18,Mid,Healthcare,966470,above,above,748.33,707.19,2025-12-09,0.04
159,Chennai Petroleum Corporation Limited,CHENNPETRO,NSE,1181.4,27.29,17585.69,Mid,Energy,981668,above,above,1043.15,914.88,2025-12-09,0.04
160,Viyash Scientific Limited,VIYASH,NSE,255.25,27.19,11146.88,Mid,Healthcare,3505145,above,above,227.33,208.32,2025-12-09,0.04
161,The Karnataka Bank Limited,KTKBANK,NSE,262.0,27.15,9904.8,Mid,Financial Services,3156352,above,above,251.24,218.88,2025-12-09,0.04
162,Indiabulls Limited,IBULLSLTD,NSE,23.24,27.06,5380.94,Mid,Real Estate,8839407,above,above,18.14,15.88,2025-12-09,0.39
163,Skipper Limited,SKIPPER,NSE,556.6,27.01,6284.86,Mid,Industrials,1265642,above,above,467.16,447.35,2025-12-09,0.03
164,Quadrant Future Tek Limited,QUADFUTURE,NSE,337.45,26.6,1345.2,Small,Industrials,1347032,above,above,305.15,335.25,2025-12-09,0.34
165,Aeroflex Enterprises Limited,AEROENTER,NSE,100.83,25.5,1138.54,Small,Basic Materials,343221,above,above,93.01,87.92,2025-12-09,0.15
166,Exicom Tele-Systems Limited,EXICOM,NSE,133.85,25.48,1866.45,Small,Industrials,5384287,above,above,124.26,126.29,2025-12-09,0.26
